BITE00007,Coding is My Cardio Round Neck T-Shirt,550,1999,1299,Shop Coding is My Cardio Round Neck T-Shirt | Bargain.pk,coding-is-my-cardio-t-shirt,coding is my cardio,it,158
BITE00008,Cofee with Code Programmer Printed T-Shirt,400,1799,1099,Shop Cofee with Code Programmer Printed T-Shirt | Bargain.pk,cofee-with-code-programmer-t-shirt,cofee with code programmer,it,158
BITE00009,Css Rocks Pure Cotton T-Shirt,400,1799,1099,Shop CSS Rocks 100% Pure Cotton T-Shirt | Bargain.pk,css-rocks-t-shirt,css3 rocks,it,158
BITE000010,Digital Ganster Printed T-Shirt,400,1799,1099,Shop Digital Ganster Cotton Printed T-Shirt | Bargain.pk,digital-ganster-t-shirt,digital ganster,it,158
BITE000011,Don’t Mess with Me Printed T-Shirt,400,1799,1099,Shop Don’t Mess with Me Printed T-Shirt | Bargain.pk,don’t-mess-with-me-t-shirt,don’t mess with me  I m a programmer,it,158
BITE000012,Eat Sleep Code Repeat Cotton T-Shrit,400,1799,1099,Shop Eat Sleep Code Repeat Cotton T-Shrit | Bargain.pk,eat-sleep-code-repeat-t-shrit,eat sleep code repeat,it,158
BITE000013,Error 501 100% Cotton T-Shirt,400,1799,1099,Shop Error 501 100% Cotton T-Shirt Online | Bargain.pk,error-501-t-shirt,error 501,it,158
BITE000014,I Want to Change the World Cotton T-Shirt,400,1799,1099,Shop I Want to Change the World Cotton T-Shirt | Bargain.pk,i-want-to-change-the-world-t-shirt,I want to change the world but they wont give me the source code,it,158
BITE000015,I Wont Be Impressed Round Neck T-Shirt,400,1799,1099,Shop I Wont Be Impressed Round Neck T-Shirt | Bargain.pk,i-wont-be-impressed-t-shirt,I wont be impressed with technology untill I can download food,it,158
BITE000016,I am Only Here Because My Connection is Down Cotton T-Shirt,400,1799,1099,Shop I am Only Here 100% Cotton T-Shirt Online | Bargain.pk,i-am-only-here-because-my-connection-is-down-t-shirt,I m only here because my connection is down,it,158
BITE000017,Insufficient Memory to Display Message Printed T-Shirt,400,1799,1099,Shop Insufficient Memory to Display Message Printed T-Shirt | Bargain.pk,insufficient-memory-to-display-message-t-shirt,insufficient memory to display message,it,158
BITE000018,Internet was Down Pure Cotton T-Shirt,400,1799,1099,Shop Internet was Down Pure Cotton Pritned T-Shirt | Bargain.pk,internet-was-down-t-shirt,internet was down so I thought I come outside today,it,158
BITE000019,Life is Too Short to Remove USB Safely Printed T-Shirt,400,1799,1099,Shop Life is Too Short to Remove USB Printed T-Shirt | Bargain.pk,life-is-too-short-to-remove-usb-safely-t-shirt,life is too short to remove usb safely,it,158
BITE000020,My Software Never Has Bugs Cotton T-Shirt,400,1799,1099,Shop My Software Never Has Bugs Cotton T-Shirt | Bargain.pk,my-software-never-has-bugs-t-shirt,my software never has bugs I just develops randm features,it,158
BITE000021,PHP Rocks Round Neck T-Shirt,400,1799,1099,Shop PHP Rocks Round Neck T-Shirt Online | Bargain.pk,php-rocks-t-shirt,PHP rocks,it,158
BITE000022,Trust Me I am Programmer Cotton T-Shirt,400,1799,1099,Shop Trust Me I am Programmer Cotton T-Shirt | Bargain.pk,trust-me-i-am-programmer-t-shirt,Trust me I m programmer,it,158
